FIPS,Name of Area,Qualifying Name,Total Violent Crimes ,Murders,Rapes,Robberies,Aggravated Assaults
1,Alabama,Alabama,20100,270,1935,4584,13302
2,Alaska,Alaska,4657,41,765,627,3224
4,Arizona,Arizona,25898,305,3176,6176,16240
5,Arkansas,Arkansas,13434,166,1686,1897,9684
6,California,California,151564,1700,9399,48674,91791
8,Colorado,Colorado,16320,148,3050,3025,10095
9,Connecticut,Connecticut,8575,89,794,3172,4520
10,Delaware,Delaware,4569,50,390,1271,2857
11,District of Columbia,District of Columbia,8199,105,472,3497,4125
12,Florida,Florida,91065,981,7104,21576,61404
13,Georgia,Georgia,38044,602,2200,12783,22458
15,Hawaii,Hawaii,3288,30,464,952,1842
16,Idaho,Idaho,3422,32,632,202,2553
17,Illinois,Illinois,46932,683,4173,15112,26965
18,Indiana,Indiana,22149,312,1765,6652,13418
19,Iowa,Iowa,8299,59,1130,1041,6068
20,Kansas,Kansas,9815,91,1428,1313,6976
21,Kentucky,Kentucky,9460,147,1549,3320,4422
22,Louisiana,Louisiana,24172,467,1346,5625,16731
23,Maine,Maine,1604,21,390,304,889
24,Maryland,Maryland,26387,364,1149,9640,15233
25,Massachusetts,Massachusetts,26059,132,2010,5999,17916
26,Michigan,Michigan,42251,544,6258,8010,27437
27,Minnesota,Minnesota,12485,88,1997,3683,6717
28,Mississippi,Mississippi,5482,181,551,1825,2923
29,Missouri,Missouri,26866,404,2401,5589,18468
30,Montana,Montana,3260,38,522,200,2500
31,Nebraska,Nebraska,4922,52,694,1037,3140
32,Nevada,Nevada,18031,170,1354,5953,10554
33,New Hampshire,New Hampshire,2496,16,553,526,1401
34,New Jersey,New Jersey,22992,352,951,10501,11185
35,New Mexico,New Mexico,11955,98,1065,2075,8710
36,New York,New York,75865,617,5967,24020,45256
37,North Carolina,North Carolina,31334,498,1712,8232,20887
38,North Dakota,North Dakota,1998,23,382,175,1418
39,Ohio,Ohio,31349,446,4736,12278,13868
40,Oklahoma,Oklahoma,16049,180,1860,3073,10935
41,Oregon,Oregon,9381,79,1220,2197,5883
42,Pennsylvania,Pennsylvania,40247,610,3837,13535,22265
44,Rhode Island,Rhode Island,2319,26,366,530,1398
45,South Carolina,South Carolina,23873,323,2174,3988,17386
46,South Dakota,South Dakota,2699,21,455,196,2027
47,Tennessee,Tennessee,39837,367,2583,7251,29636
48,Texas,Texas,109393,1190,11583,30981,65637
49,Utah,Utah,6247,65,1454,1276,3447
50,Vermont,Vermont,637,10,117,71,439
51,Virginia,Virginia,16523,351,2415,4293,9462
53,Washington,Washington,19985,178,2531,5643,11633
54,West Virginia,West Virginia,5327,78,553,510,4183
55,Wisconsin,Wisconsin,16339,157,1419,5058,9704
56,Wyoming,Wyoming,1106,16,165,53,872
